Document Title,Authors,Publication Year,PDF Link,Implementation?,Abstract Summary
Classifying Group Emotions for Socially-Aware Autonomous Vehicle Navigation,A. Bera; T. Randhavane; A. Wang; D. Manocha; E. Kubin; K. Gray,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8575305,NO,"Our approach is based on prior psychological research, which reveals that people notice and-importantly-react negatively to groups of social actors when they have negative group emotions or entitativity, moving in a tight group with similar appearances and trajectories. Our approach empirically shows that various levels of emotional autonomous robots can be used to both avoid and influence pedestrians while not eliciting strong emotional reactions, giving multi-robot systems socially-invisibility."
JRDB-Pose: A Large-Scale Dataset for Multi-Person Pose Estimation and Tracking,E. Vendrow; D. T. Le; J. Cai; H. Rezatofighi,2023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10204595,NO,"JRDB-Pose extends the existing JRDB which includes videos captured from a social navigation robot in a university campus environment, containing challenging scenes with crowded indoor and outdoor locations and a diverse range of scales and occlusion types. In crowded human scenes with close-up human-robot interaction and robot navigation, a deep understanding of surrounding people requires reasoning about human motion and body dynamics over time with human body pose estimation and tracking."
Robust Neural Routing Through Space Partitions for Camera Relocalization in Dynamic Indoor Environments,S. Dong; Q. Fan; H. Wang; J. Shi; L. Yi; T. Funkhouser; B. Chen; L. Guibas,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9577932,NO,"It builds on three important blocks: (a) a hierarchical space partition over the indoor scene to construct the decision tree; (b) a neural routing function, implemented as a deep classification network, employed for better 3D scene understanding; and (c) an outlier rejection module used to filter out dynamic points during the hierarchical routing process. Such a mapping is estimated with either a convolution neural network or a decision tree using only the static input image sequence, which makes these approaches vulnerable to dynamic indoor environments that are quite common yet challenging in the real world."
Multi-Agent Tensor Fusion for Contextual Trajectory Prediction,T. Zhao; Y. Xu; M. Monfort; W. Choi; C. Baker; Y. Zhao; Y. Wang; Y. N. Wu,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8953520,NO,"Specifically, the model encodes multiple agents' past trajectories and the scene context into a Multi-Agent Tensor, then applies convolutional fusion to capture multiagent interactions while retaining the spatial structure of agents and the scene context. Trajectory prediction is challenging because it requires reasoning about agents' past movements, social interactions among varying numbers and kinds of agents, constraints from the scene context, and the stochasticity of human behavior."
Boosting Detection in Crowd Analysis via Underutilized Output Features,S. Wu; F. Yang,2023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10203588,YES,"Our extensive evaluations on various crowd analysis tasks, including crowd counting, localization, and detection, demonstrate the effectiveness of utilizing output features and the potential of detection-based methods in crowd analysis. However, we argue that the potential of these methods has been underestimated, as they offer crucial information for crowd analysis that is often ignored."
Tracking Pedestrian Heads in Dense Crowd,R. Sundararaman; C. De Almeida Braga; E. Marchand; J. Pettré,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9577483,NO,"For evaluation, we proposed a new metric, IDEucl, to measure an algorithm’s efficacy in preserving a unique identity for the longest stretch in image coordinate space, thus building a correspondence between pedestrian crowd motion and the performance of a tracking algorithm. For that reason, we propose to revitalize head tracking with Crowd of Heads Dataset (CroHD), consisting of 9 sequences of 11,463 frames with over 2,276,838 heads and 5,230 tracks annotated in diverse scenes."
StarCraftImage: A Dataset For Prototyping Spatial Reasoning Methods For Multi-Agent Environments,S. Kulinski; N. R. Waytowich; J. Z. Hare; D. I. Inouye,2023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10204010,NO,"Spatial reasoning tasks in multi-agent environments such as event prediction, agent type identification, or missing data imputation are important for multiple applications (e.g., autonomous surveillance over sensor networks and subtasks for reinforcement learning (RL)). Following the simplicity of these datasets, we construct a benchmark spatial reasoning dataset based on StarCraft II replays that exhibit complex multi-agent behaviors, while still being as easy to use as MNIST and CIFAR10."
Progressive End-to-End Object Detection in Crowded Scenes,A. Zheng; Y. Zhang; X. Zhang; X. Qi; J. Sun,2022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9878585,YES,"Previous query-based detectors suffer from two drawbacks: first, multiple predictions will be inferred for a single object, typically in crowded scenes; second, the performance saturates as the depth of the decoding stage increases. Equipped with our approach, Sparse RCNN achieves 92.0% AP, 41.4% MR−2 and 83.2% JI on the challenging CrowdHuman [35] dataset, outperforming the box-based method MIP [8] that specifies in handling crowded scenarios."
CrowdCLIP: Unsupervised Crowd Counting via Vision-Language Model,D. Liang; J. Xie; Z. Zou; X. Ye; W. Xu; X. Bai,2023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10203327,YES,"In the testing stage, to deal with the diversity of image patches, we propose a simple yet effective progressive filtering strategy to first select the highly potential crowd patches and then map them into the language space with various counting intervals. The core idea is built on two observations: 1) the recent contrastive pre-trained vision-language model (CLIP) has presented impressive performance on various downstream tasks; 2) there is a natural mapping between crowd patches and count text."
IPCC-TP: Utilizing Incremental Pearson Correlation Coefficient for Joint Multi-Agent Trajectory Prediction,D. Zhu; G. Zhai; Y. Di; F. Manhardt; H. Berkemeyer; T. Tran; N. Navab; F. Tombari; B. Busam,2023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10203793,NO,"Compared with single-agent cases, the major challenge in simultaneously processing multiple agents lies in modeling complex social interactions caused by various driving intentions and road conditions. Previous methods typically leverage graph-based message propagation or attention mechanism to encapsulate such interactions in the format of marginal probabilistic distributions."
FJMP: Factorized Joint Multi-Agent Motion Prediction over Learned Directed Acyclic Interaction Graphs,L. Rowe; M. Ethier; E. -H. Dykhne; K. Czarnecki,2023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10204178,NO,"We then prune the graph into a directed acyclic graph (DAG) and decompose the joint prediction task into a sequence of marginal and conditional predictions according to the partial ordering of the DAG, where joint future trajectories are decoded using a directed acyclic graph neural network (DAGNN). We conduct experiments on the INTERACTION and Argoverse 2 datasets and demonstrate that FJMP produces more accurate and scene-consistent joint trajectory predictions than non-factorized approaches, especially on the most interactive and kinematically interesting agents."
Context-Aware Crowd Counting,W. Liu; M. Salzmann; P. Fua,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8954153,NO,"In this paper, we introduce an end-to-end trainable deep architecture that combines features obtained using multiple receptive field sizes and learns the importance of each such feature at each image location. This is typically achieved by training an auxiliary classifier to select, for predefined image patches, the best kernel size among a limited set of choices."
A Generalized Loss Function for Crowd Counting and Localization,J. Wan; Z. Liu; A. B. Chan,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9578673,NO,"In this paper, we investigate learning the density map representation through an unbalanced optimal transport problem, and propose a generalized loss function to learn density maps for crowd counting and localization. Since the predicted density will be pushed toward annotation positions, the density map prediction will be sparse and can naturally be used for localization."
Leveraging Self-Supervision for Cross-Domain Crowd Counting,W. Liu; N. Durasov; P. Fua,2022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9878515,YES,"To this end, we force our network to learn perspective-aware features by training it to recognize upside-down real images from regular ones and incorporate into it the ability to predict its own uncertainty so that it can generate useful pseudo labels for fine-tuning purposes. While effective, these data-driven approaches rely on large amount of data annotation to achieve good performance, which stops these models from being deployed in emergencies during which data annotation is either too costly or cannot be obtained fast enough."
Revisiting Perspective Information for Efficient Crowd Counting,M. Shi; Z. Yang; C. Xu; Q. Chen,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8953508,NO,"Ground truth perspective maps are firstly generated for training; PACNN is then specifically designed to predict multi-scale perspective maps and encode them as perspective-aware weighting layers in the network to adaptively combine the outputs of multi-scale density maps. In this work, we propose a perspective-aware convolutional neural network (PACNN) for efficient crowd counting, which integrates the perspective information into density regression to provide additional knowledge of the person scale change in an image."
Cross-Modal Collaborative Representation Learning and a Large-Scale RGBT Benchmark for Crowd Counting,L. Liu; J. Chen; H. Wu; G. Li; C. Li; L. Lin,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9578312,NO,"Furthermore, to facilitate the multimodal crowd counting, we propose a cross-modal collaborative representation learning framework, which consists of multiple modality-specific branches, a modality-shared branch, and an Information Aggregation-Distribution Module (IADM) to capture the complementary information of different modalities fully. To promote future researches in this field, we introduce a large-scale RGBT Crowd Counting (RGBT-CC) benchmark, which contains 2,030 pairs of RGB-thermal images with 138,389 annotated people."
Human Trajectory Prediction with Momentary Observation,J. Sun; Y. Li; L. Chai; H. -S. Fang; Y. -L. Li; C. Lu,2022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9878712,NO,"In this paper, we study a task named momentary trajectory prediction, which reduces the observed history from a long time sequence to an extreme situation of two frames, one frame for social and scene contexts and both frames for the velocity of agents. Human trajectory prediction task aims to analyze human future movements given their past status, which is a crucial step for many autonomous systems such as self-driving cars and social robots."
Learning From Synthetic Data for Crowd Counting in the Wild,Q. Wang; J. Gao; W. Lin; Y. Yuan,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8953868,YES,"Secondly, we propose two schemes that exploit the synthetic data to boost the performance of crowd counting in the wild: 1) pretrain a crowd counter on the synthetic data, then finetune it using the real data, which significantly prompts the model's performance on real data; 2) propose a crowd counting method via domain adaptation, which can free humans from heavy data annotations. To remedy the above two problems, firstly, we develop a data collector and labeler, which can generate the synthetic crowd scenes and simultaneously annotate them without any manpower."
ADCrowdNet: An Attention-Injective Deformable Convolutional Network for Crowd Understanding,N. Liu; Y. Long; C. Zou; Q. Niu; L. Pan; H. Wu,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8953548,NO,"We have evaluated our method on four popular crowd counting datasets (ShanghaiTech, UCF_CC_50, WorldEXPO'10, and UCSD) and an extra vehicle counting dataset TRANCOS, and our approach beats existing state-of-the-art approaches on all of these datasets. With the attention-aware training scheme and multi-scale deformable convolutional scheme, the proposed ADCrowdNet achieves the capability of being more effective to capture the crowd features and more resistant to various noises."
Wide-Area Crowd Counting via Ground-Plane Density Maps and Multi-View Fusion CNNs,Q. Zhang; A. B. Chan,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8953461,NO,"However, single-view counting is not applicable to large and wide scenes (e.g., public parks, long subway platforms, or event spaces) because a single camera cannot capture the whole scene in adequate detail for counting, e.g., when the scene is too large to fit into the field-of-view of the camera, too long so that the resolution is too low on faraway crowds, or when there are too many large objects that occlude large portions of the crowd. We consider 3 versions of the fusion framework: the late fusion model fuses camera-view density map; the naive early fusion model fuses camera-view feature maps; and the multi-view multi-scale early fusion model favors that features aligned to the same ground-plane point have consistent scales."
Learning to Estimate Robust 3D Human Mesh from In-the-Wild Crowded Scenes,H. Choi; G. Moon; J. Park; K. M. Lee,2022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9879767,YES,"A motion capture dataset, which provides accurate 3D labels for training, lacks crowd data and impedes a network from learning crowded scene-robust image features of a target person. First, we leverage 2D human pose estimation that does not require a motion capture dataset with 3D labels for training and does not suffer from the domain gap."
HiVT: Hierarchical Vector Transformer for Multi-Agent Motion Prediction,Z. Zhou; L. Ye; J. Wang; K. Wu; K. Lu,2022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9878832,NO,"Meanwhile, we propose a translation-invariant scene representation and rotation-invariant spa-tial learning modules, which extract features robust to the geometric transformations of the scene and enable the model to make accurate predictions for multiple agents in a single forward pass. How-ever, existing methods neglect the symmetries of the prob-lem and suffer from the expensive computational cost, facing the challenge of making real-time multi-agent motion prediction without sacrificing the prediction performance."
Deep Decision Trees for Discriminative Dictionary Learning with Adversarial Multi-agent Trajectories,T. Fernando; S. Sridharan; C. Fookes; S. Denman,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8575387,NO,"With the explosion in the availability of spatio-temporal tracking data in modern sports, there is an enormous opportunity to better analyse, learn and predict important events in adversarial group environments. Due to the ample volume of data available, we focus on soccer tracking data, although our approach can be used in any adversarial multi-agent domain."
Adaptive NMS: Refining Pedestrian Detection in a Crowd,S. Liu; D. Huang; Y. Wang,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8953514,NO,"The contributions are threefold: (1) we propose adaptive-NMS, which applies a dynamic suppression threshold to an instance, according to the target density; (2) we design an efficient subnetwork to learn density scores, which can be conveniently embedded into both the single-stage and two-stage detectors; and (3) we achieve state of the art results on the CityPersons and CrowdHuman benchmarks. This paper addresses this problem by a novel Non-Maximum Suppression (NMS) algorithm to better refine the bounding boxes given by detectors."
MonoRec: Semi-Supervised Dense Reconstruction in Dynamic Environments from a Single Moving Camera,F. Wimbauer; N. Yang; L. von Stumberg; N. Zeller; D. Cremers,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9578522,NO,"With the model trained on KITTI, we furthermore demonstrate that MonoRec is able to generalize well to both the Oxford RobotCar dataset and the more challenging TUM-Mono dataset recorded by a handheld camera. To deal with dynamic objects in the scene, we introduce a MaskModule that predicts moving object masks by leveraging the photometric inconsistencies encoded in the cost volumes."
Recurrent Attentive Zooming for Joint Crowd Counting and Precise Localization,C. Liu; X. Weng; Y. Mu,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8953396,NO,"First, our formulation is based on a crucial observation that localization tends to be inaccurate at high-density regions, and increasing the resolution is an effective albeit simple solution for improving localization. A majority of existing works adopt a methodology that first estimates a person-density map and then calculates integral over this map to obtain the final count."
Density Map Regression Guided Detection Network for RGB-D Crowd Counting and Localization,D. Lian; J. Li; J. Zheng; W. Luo; S. Gao,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8954179,NO,"Specifically, to improve the robustness of detection-based approaches for small/tiny heads, we leverage density map to improve the head/non-head classification in detection network where density map serves as the probability of a pixel being a head. Further, our method can be readily extended to RGB image based crowd counting and achieves comparable performance on the ShanghaiTech Part\_B dataset for both counting and localization."
Boosting Crowd Counting via Multifaceted Attention,H. Lin; Z. Ma; R. Ji; Y. Wang; X. Hong,2022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9880163,YES,"As large-scale variations often exist within crowd images, neither fixed-size convolution kernel of CNN nor fixed-size attention of recent vision transformers can well handle this kind of variations. Secondly, we design the Local Attention Regularization to supervise the training of LRA by minimizing the deviation among the attention for different feature locations."
TrafficSim: Learning to Simulate Realistic Multi-Agent Behaviors,S. Suo; S. Regalado; S. Casas; R. Urtasun,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9577667,NO,"Existing simulation environments rely on heuristic-based models that directly encode traffic rules, which cannot capture irregular maneuvers (e.g., nudging, U-turns) and complex interactions (e.g., yielding, merging). To learn a robust policy amenable for long horizon simulation, we unroll the policy in training and optimize through the fully differentiable simulation across time."
Multi-Agent Automated Machine Learning,Z. Wang; K. Su; J. Zhang; H. Jia; Q. Ye; X. Xie; Z. Lu,2023,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10205095,NO,"MA2ML takes each machine learning module, such as data augmentation (AUG), neural architecture search (NAS), or hyper-parameters (HPO), as an agent and the final performance as the reward, to formulate a multi-agent reinforcement learning problem. In this paper, we propose multi-agent automated machine learning (MA2ML) with the aim to effectively handle joint optimization of modules in automated machine learning (AutoML)."
