Document Title,Authors,Publication Year,PDF Link,Implementation?,Abstract Summary
Risk-Based Human-Aware Multi-Robot Coordination in Dynamic Environments Shared with Humans,Z. Talebpour; A. Martinoli,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8593586,NO,"Additionally, a comparative study targeting human-agnostic planning at both navigation and planning levels, human-aware navigation and planning based on deterministic costs, and risk-based human-aware planning with no individual human-aware navigation has been conducted. This is done by means of testing different levels of prediction error for known human trajectories and in a separate approach, using a Kalman filter for human trajectory estimation."
"Range-limited, Distributed Algorithms on Higher-Order Voronoi Partitions in Multi-Robot Systems",L. Kong; Q. Liu; C. B. Yu,2019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8968501,NO,"Motivated by the concept of dominating region in higher-order Voronoi partition, we propose a detecting ray based algorithm, which computes the boundary points of the dominating region of a robot in an omnidirectional manner, with local position information of its neighbors within the communication range. This paper studies the problem of distributed computation of higher order Voronoi partition over a bounded region by a group of robots with both range-limited visibility sensors and communication devices."
Multi-Robot Coordinated Planning in Confined Environments under Kinematic Constraints,C. Mangette; P. Tokekar,2020,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9341213,YES,"We extend the central planner dRRT* with our variant, fast-dRRT (fdRRT), with the intention being to use in tight environments that lead to a high degree of coupling between robots. We investigate the problem of multi-robot coordinated planning in environments where the robots may have to operate in close proximity to each other."
Generation of Context-Dependent Policies for Robot Rescue Decision-Making in Multi-Robot Teams,S. Al-Hussaini; J. M. Gregory; S. K. Gupta,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8594114,NO,"We demonstrate the feasibility of such a solution using physics-based simulations to synthesize a policy in a computationally-efficient manner and exhibit superior performance with regards to the minimization of probability of mission failure when compared to two feasible baseline approaches. We propose a scalable, parallelizable policy synthesis framework intended for a robot presented with the decision of exploration or rescue, given some time-varying, stochastic mission conditions, referred to as context."
Key-frame Selection for Multi-robot Simultaneous Localization and Tracking in Robot Soccer Field,W. -K. Fu; K. -L. Lin; C. -S. Shih,2018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8593785,NO,"This paper presents the design and implementation of key-frame selection algorithm for multiple robots simultaneous localization and tracking on the multi-robot soccer games which have pre-defined field and objects. And comparing with the localization results using all the images, using less than 20% of all images after walking 11,203mm it only increase up to 0.87% trajectory errors."
Rapid Recovery from Robot Failures in Multi-Robot Visibility-Based Pursuit-Evasion,T. Olsen; N. M. Stiffler; J. M. O’Kane,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9636141,NO,"An aspect of this problem that has yet to be explored concerns how to ensure that the robots can recover from catastrophic failures which leave one or more robots unexpectedly incapable of continuing to contribute to the pursuit of the evader. When such failures occur, a replanning occurs, leveraging both the information retained from the previous iteration and the partial progress of the search completed before the failure to generate a new motion strategy for the reduced team of pursuers."
"Scalable Distributed Planning for Multi-Robot, Multi-Target Tracking",M. Corah; N. Michael,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9636729,NO,"Simulation results—available via open source release—for target tracking with ranging sensors demonstrate that our planners consistently approach the performance of sequential planning (in terms of position uncertainty) given only 2–8 planning steps and for as many as 96 robots with a 24x reduction in the number of sequential steps in planning. Although that analysis is not applicable to target tracking, we prove a similar guarantee, that RSP planning approaches performance guarantees for fully sequential planners, by employing a novel bound which takes advantage of the independence of target motions to quantify effective redundancy between robots’ observations and actions."
MR-iSAM2: Incremental Smoothing and Mapping with Multi-Root Bayes Tree for Multi-Robot SLAM,Y. Zhang; M. Hsiao; J. Dong; J. Engel; F. Dellaert,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9636687,NO,"In multi-robot scenarios, the MRBT enables new measurements from different robots to be updated in different root branches, while all updates are performed around the single root of the Bayes tree in the original iSAM2 algorithm. Based on this insight, we further develop MR-iSAM2 to incrementally update and maintain the sparsity structure of the MRBT and enable efficient information propagation among the roots for inter-robot inference."
Multi-modal User Interface for Multi-robot Control in Underground Environments,S. Chen; M. J. O'Brien; F. Talbot; J. Williams; B. Tidd; A. Pitt; R. C. Arkin,2022,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9981165,NO,Leveraging both the autonomy of robots and the expert knowledge of humans can enable a multi-robot system to complete missions in challenging environments with a high degree of adaptivity and robustness. The core of the interface is an integrated multi-robot task allocation system to allow the user to encode his/her intents to guide the heterogeneous multi-robot team.
Towards Safe Navigation Through Crowded Dynamic Environments,Z. Xie; P. Xin; P. Dames,2021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9636102,NO,"A series of experiments in detailed simulated environments demonstrate the efficacy of this policy, which is able to achieve a higher success rate than either standard model-based planners or state-of-the-art neural network control policies that use only raw sensor data. This paper proposes a novel neural network-based control policy to enable a mobile robot to navigate safety through environments filled with both static obstacles, such as tables and chairs, and dense crowds of pedestrians."
